StudentID,Age,Gender,StudyHours,AttendancePercent,PreviousScore,ParentalEducation,InternetAccess,ExtraCurricular,FinalScore,Passed
1,18,Male,5,85,60,Graduate,Yes,Yes,72,1
2,19,Female,8,92,75,Postgraduate,Yes,Yes,88,1
3,17,Male,2,60,45,HighSchool,No,No,40,0
4,20,Female,6,78,65,Graduate,Yes,No,70,1
5,18,Male,3,55,50,HighSchool,No,Yes,48,0
6,21,Female,9,95,80,Postgraduate,Yes,Yes,92,1
7,19,Male,4,70,55,Graduate,Yes,No,62,1
8,18,Female,7,88,72,Graduate,Yes,Yes,80,1
9,20,Male,1,45,30,HighSchool,No,No,28,0
10,17,Female,5,80,63,Graduate,Yes,Yes,68,1
11,22,Male,10,98,85,Postgraduate,Yes,Yes,95,1
12,19,Female,3,62,48,HighSchool,No,No,42,0
13,18,Male,6,75,67,Graduate,Yes,Yes,74,1
14,20,Female,8,90,78,Postgraduate,Yes,No,85,1
15,17,Male,2,50,40,HighSchool,No,No,32,0
16,21,Female,7,85,71,Graduate,Yes,Yes,78,1
17,19,Male,4,68,54,Graduate,No,No,58,1
18,18,Female,9,93,82,Postgraduate,Yes,Yes,91,1
19,20,Male,3,58,47,HighSchool,No,Yes,45,0
20,17,Female,6,77,64,Graduate,Yes,No,69,1
21,22,Male,5,82,66,Graduate,Yes,Yes,73,1
22,19,Female,2,48,35,HighSchool,No,No,30,0
23,18,Male,8,89,76,Postgraduate,Yes,Yes,84,1
24,20,Female,4,72,57,Graduate,Yes,No,63,1
25,17,Male,7,86,70,Graduate,Yes,Yes,77,1
26,21,Female,3,60,49,HighSchool,No,No,43,0
27,19,Male,9,94,81,Postgraduate,Yes,Yes,90,1
28,18,Female,5,79,62,Graduate,Yes,Yes,70,1
29,20,Male,2,52,38,HighSchool,No,No,33,0
30,17,Female,6,76,65,Graduate,Yes,No,71,1
31,22,Male,8,91,79,Postgraduate,Yes,Yes,87,1
32,19,Female,4,69,56,Graduate,No,Yes,61,1
33,18,Male,3,57,46,HighSchool,No,No,41,0
34,20,Female,7,87,73,Graduate,Yes,Yes,81,1
35,17,Male,5,83,67,Graduate,Yes,No,75,1
36,21,Female,2,47,33,HighSchool,No,No,29,0
37,19,Male,9,96,83,Postgraduate,Yes,Yes,93,1
38,18,Female,4,71,58,Graduate,Yes,No,64,1
39,20,Male,6,80,68,Graduate,Yes,Yes,76,1
40,17,Female,3,59,44,HighSchool,No,No,39,0
41,22,Male,8,88,77,Postgraduate,Yes,Yes,86,1
42,19,Female,5,81,63,Graduate,Yes,Yes,72,1
43,18,Male,2,49,36,HighSchool,No,No,31,0
44,20,Female,7,84,71,Graduate,Yes,No,79,1
45,17,Male,9,97,84,Postgraduate,Yes,Yes,94,1
46,21,Female,4,66,53,Graduate,No,No,57,1
47,19,Male,6,78,66,Graduate,Yes,Yes,74,1
48,18,Female,3,56,43,HighSchool,No,No,38,0
49,20,Male,8,92,80,Postgraduate,Yes,Yes,89,1
50,17,Female,5,74,61,Graduate,Yes,No,67,1
